Duration_Seconds,Min_IOPS
0.0100,50560.77
0.0200,48343.09
0.0300,47469.43
0.0400,46894.35
0.0500,46437.08
0.0600,46058.61
0.0700,45729.77
0.0800,45430.53
0.0900,45159.16
0.1000,44915.98
0.1100,44690.35
0.1200,44479.90
0.1300,44285.28
0.1400,44101.34
0.1500,43919.62
0.1600,43737.54
0.1700,43567.49
0.1800,43410.09
0.1900,43259.12
0.2000,43116.29
0.2100,42968.87
0.2200,42821.44
0.2300,42679.50
0.2400,42536.29
0.2500,42402.00
0.2600,42282.02
0.2700,42171.66
0.2800,42062.35
0.2900,41947.50
0.3000,41836.00
0.3100,41731.50
0.3200,41630.00
0.3300,41528.50
0.3400,41437.71
0.3500,41349.50
0.3600,41262.50
0.3700,41180.50
0.3800,41095.50
0.3900,41013.00
0.4000,40939.50
0.4100,40865.00
0.4200,40783.00
0.4300,40710.61
0.4400,40645.00
0.4500,40580.00
0.4600,40520.50
0.4700,40463.00
0.4800,40407.50
0.4900,40353.50
0.5000,40301.00
0.5100,40249.00
0.5200,40195.00
0.5300,40144.00
0.5400,40098.50
0.5500,40053.00
0.5600,40006.50
0.5700,39961.50
0.5800,39920.00
0.5900,39879.50
0.6000,39839.00
0.6100,39798.00
0.6200,39756.50
0.6300,39716.50
0.6400,39678.50
0.6500,39642.00
0.6600,39606.00
0.6700,39572.00
0.6800,39539.00
0.6900,39506.00
0.7000,39473.00
0.7100,39440.50
0.7200,39409.50
0.7300,39378.50
0.7400,39346.00
0.7500,39314.00
0.7600,39284.00
0.7700,39255.50
0.7800,39229.00
0.7900,39204.00
0.8000,39177.00
0.8100,39149.00
0.8200,39122.50
0.8300,39095.50
0.8400,39068.50
0.8500,39042.00
0.8600,39016.50
0.8700,38992.00
0.8800,38967.50
0.8900,38943.00
0.9000,38918.00
0.9100,38895.00
0.9200,38873.00
0.9300,38850.50
0.9400,38828.50
0.9500,38806.50
0.9600,38783.50
0.9700,38760.50
0.9800,38740.00
0.9900,38720.50
1.0000,38699.50
1.0100,38679.00
1.0200,38659.50
1.0300,38638.50
1.0400,38617.50
1.0500,38597.50
1.0600,38578.50
1.0700,38560.00
1.0800,38540.00
1.0900,38521.00
1.1000,38503.00
1.1100,38483.50
1.1200,38465.00
1.1300,38447.50
1.1400,38429.50
1.1500,38412.00
1.1600,38394.00
1.1700,38376.00
1.1800,38358.50
1.1900,38340.50
1.2000,38324.00
1.2100,38307.00
1.2200,38289.50
1.2300,38274.00
1.2400,38257.50
1.2500,38240.50
1.2600,38223.50
1.2700,38206.50
1.2800,38189.50
1.2900,38173.00
1.3000,38157.00
1.3100,38141.50
1.3200,38127.00
1.3300,38111.50
1.3400,38095.00
1.3500,38078.50
1.3600,38063.00
1.3700,38048.50
1.3800,38034.50
1.3900,38021.00
1.4000,38007.50
1.4100,37992.50
1.4200,37978.00
1.4300,37965.00
1.4400,37950.50
1.4500,37934.50
1.4600,37919.50
1.4700,37906.00
1.4800,37892.00
1.4900,37877.50
1.5000,37864.50
1.5100,37852.00
1.5200,37839.00
1.5300,37826.50
1.5400,37814.00
1.5500,37800.50
1.5600,37787.00
1.5700,37773.00
1.5800,37759.00
1.5900,37746.00
1.6000,37732.50
1.6100,37719.50
1.6200,37707.00
1.6300,37694.00
1.6400,37681.50
1.6500,37669.50
1.6600,37657.00
1.6700,37645.00
1.6800,37632.50
1.6900,37619.50
1.7000,37607.00
1.7100,37594.50
1.7200,37582.50
1.7300,37570.50
1.7400,37558.50
1.7500,37546.50
1.7600,37535.00
1.7700,37523.00
1.7800,37511.00
1.7900,37500.00
1.8000,37489.00
1.8100,37478.50
1.8200,37468.00
1.8300,37457.00
1.8400,37446.00
1.8500,37434.50
1.8600,37423.00
1.8700,37412.00
1.8800,37401.00
1.8900,37390.00
1.9000,37379.00
1.9100,37368.00
1.9200,37357.50
1.9300,37347.00
1.9400,37336.50
1.9500,37326.50
1.9600,37316.50
1.9700,37306.50
1.9800,37296.00
1.9900,37285.50
2.0000,37275.00
2.0100,37264.50
2.0200,37255.00
2.0300,37245.50
2.0400,37235.50
2.0500,37226.00
2.0600,37216.00
2.0700,37205.50
2.0800,37196.50
2.0900,37188.00
2.1000,37179.00
2.1100,37169.50
2.1200,37159.50
2.1300,37150.00
2.1400,37140.50
2.1500,37131.00
2.1600,37122.00
2.1700,37112.50
2.1800,37103.00
2.1900,37094.00
2.2000,37084.50
2.2100,37075.00
2.2200,37065.50
2.2300,37055.50
2.2400,37046.00
2.2500,37036.50
2.2600,37028.00
2.2700,37019.50
2.2800,37010.00
2.2900,37002.00
2.3000,36994.50
2.3100,36986.00
2.3200,36977.50
2.3300,36969.50
2.3400,36961.00
2.3500,36952.00
2.3600,36943.50
2.3700,36935.00
2.3800,36926.00
2.3900,36917.00
2.4000,36908.50
2.4100,36900.50
2.4200,36892.00
2.4300,36883.50
2.4400,36875.50
2.4500,36868.00
2.4600,36860.00
2.4700,36851.50
2.4800,36843.50
2.4900,36835.50
2.5000,36828.00
2.5100,36820.50
2.5200,36812.00
2.5300,36803.50
2.5400,36796.00
2.5500,36789.00
2.5600,36782.00
2.5700,36774.00
2.5800,36765.50
2.5900,36757.50
2.6000,36750.00
2.6100,36742.50
2.6200,36734.50
2.6300,36727.00
2.6400,36720.00
2.6500,36712.50
2.6600,36705.00
2.6700,36698.00
2.6800,36691.00
2.6900,36683.50
2.7000,36676.00
2.7100,36669.00
2.7200,36662.00
2.7300,36654.50
2.7400,36646.50
2.7500,36639.00
2.7600,36632.00
2.7700,36624.50
2.7800,36617.00
2.7900,36610.00
2.8000,36602.50
2.8100,36594.50
2.8200,36587.00
2.8300,36580.00
2.8400,36573.00
2.8500,36566.50
